result_ID,student_ID,unit_ID,marks,grade
RES0001,SCT211-0001/2021,UNIT001,48.49,D
RES0002,SCT211-0001/2021,UNIT002,52.45,C
RES0003,SCT211-0001/2021,UNIT003,69.32,B
RES0004,SCT211-0001/2021,UNIT004,55.67,C
RES0005,SCT211-0001/2021,UNIT005,44.97,D
RES0006,SCT211-0001/2021,UNIT006,76.48,A
RES0007,SCT211-0002/2021,UNIT001,79.37,A
RES0008,SCT211-0002/2021,UNIT002,68.42,B
RES0009,SCT211-0002/2021,UNIT003,62.38,B
RES0010,SCT211-0002/2021,UNIT004,79.7,A
RES0011,SCT211-0002/2021,UNIT005,41.97,D
RES0012,SCT211-0002/2021,UNIT006,78.39,A
RES0013,SCT211-0003/2021,UNIT001,83.62,A
RES0014,SCT211-0003/2021,UNIT002,70.13,A
RES0015,SCT211-0003/2021,UNIT003,75.84,A
RES0016,SCT211-0003/2021,UNIT004,69.71,B
RES0017,SCT211-0003/2021,UNIT005,69.3,B
RES0018,SCT211-0003/2021,UNIT006,61.55,B
RES0019,SCT211-0004/2021,UNIT001,61.44,B
RES0020,SCT211-0004/2021,UNIT002,69.31,B
RES0021,SCT211-0004/2021,UNIT003,54.67,C
RES0022,SCT211-0004/2021,UNIT004,63.63,B
RES0023,SCT211-0004/2021,UNIT005,63.66,B
RES0024,SCT211-0004/2021,UNIT006,95.87,A
RES0025,SCT211-0005/2021,UNIT001,55.92,C
RES0026,SCT211-0005/2021,UNIT002,41.11,D
RES0027,SCT211-0005/2021,UNIT003,52.82,C
RES0028,SCT211-0005/2021,UNIT004,81.73,A
RES0029,SCT211-0005/2021,UNIT005,83.73,A
RES0030,SCT211-0005/2021,UNIT006,47.57,D
RES0031,SCT211-0006/2021,UNIT001,72.19,A
RES0032,SCT211-0006/2021,UNIT002,42.27,D
RES0033,SCT211-0006/2021,UNIT003,50.44,C
RES0034,SCT211-0006/2021,UNIT004,71.84,A
RES0035,SCT211-0006/2021,UNIT005,76.63,A
RES0036,SCT211-0006/2021,UNIT006,73.36,A
RES0037,SCT211-0007/2021,UNIT001,98.43,A
RES0038,SCT211-0007/2021,UNIT002,59.51,C
RES0039,SCT211-0007/2021,UNIT003,47.91,D
RES0040,SCT211-0007/2021,UNIT004,76.36,A
RES0041,SCT211-0007/2021,UNIT005,78.33,A
RES0042,SCT211-0007/2021,UNIT006,61.89,B
RES0043,SCT211-0008/2021,UNIT001,68.31,B
RES0044,SCT211-0008/2021,UNIT002,75.13,A
RES0045,SCT211-0008/2021,UNIT003,56.21,C
RES0046,SCT211-0008/2021,UNIT004,77.99,A
RES0047,SCT211-0008/2021,UNIT005,82.4,A
RES0048,SCT211-0008/2021,UNIT006,62.63,B
RES0049,SCT211-0009/2021,UNIT001,60.68,B
RES0050,SCT211-0009/2021,UNIT002,54.93,C
RES0051,SCT211-0009/2021,UNIT003,75.46,A
RES0052,SCT211-0009/2021,UNIT004,78.83,A
RES0053,SCT211-0009/2021,UNIT005,81.73,A
RES0054,SCT211-0009/2021,UNIT006,64.05,B
RES0055,SCT211-0010/2021,UNIT001,76.93,A
RES0056,SCT211-0010/2021,UNIT002,86.78,A
RES0057,SCT211-0010/2021,UNIT003,81.21,A
RES0058,SCT211-0010/2021,UNIT004,44.0,D
RES0059,SCT211-0010/2021,UNIT005,45.82,D
RES0060,SCT211-0010/2021,UNIT006,77.79,A
RES0061,SCT211-0011/2021,UNIT001,51.68,C
RES0062,SCT211-0011/2021,UNIT002,54.55,C
RES0063,SCT211-0011/2021,UNIT003,56.91,C
RES0064,SCT211-0011/2021,UNIT004,53.61,C
RES0065,SCT211-0011/2021,UNIT005,71.09,A
RES0066,SCT211-0011/2021,UNIT006,94.99,A
RES0067,SCT211-0012/2021,UNIT001,94.28,A
RES0068,SCT211-0012/2021,UNIT002,78.55,A
RES0069,SCT211-0012/2021,UNIT003,56.55,C
RES0070,SCT211-0012/2021,UNIT004,98.45,A
RES0071,SCT211-0012/2021,UNIT005,93.65,A
RES0072,SCT211-0012/2021,UNIT006,59.06,C
RES0073,SCT211-0013/2021,UNIT001,45.6,D
RES0074,SCT211-0013/2021,UNIT002,47.9,D
RES0075,SCT211-0013/2021,UNIT003,89.26,A
