semester_ID,semester_number,year,course_ID
SEM0001,1,2023,IT001
SEM0002,3,2023,IT001
SEM0003,3,2021,IT001
SEM0004,2,2023,CS001
SEM0005,2,2023,CS001
SEM0006,1,2023,SE001
SEM0007,2,2024,IT001
SEM0008,1,2023,SE001
SEM0009,2,2023,IT001
SEM0010,1,2022,IT001
SEM0011,1,2023,IT001
SEM0012,1,2022,SE001
SEM0013,1,2022,SE001
SEM0014,3,2023,IT001
SEM0015,2,2021,SE001
SEM0016,1,2023,CS001
SEM0017,1,2023,IT001
SEM0018,3,2021,CS001
SEM0019,1,2021,CS001
SEM0020,2,2024,CS001
SEM0021,2,2024,IT001
SEM0022,3,2021,CS001
SEM0023,1,2021,IT001
SEM0024,1,2024,IT001
SEM0025,3,2022,SE001
SEM0026,2,2021,CS001
SEM0027,2,2021,IT001
SEM0028,2,2024,IT001
SEM0029,3,2022,SE001
SEM0030,2,2022,CS001
SEM0031,1,2023,CS001
SEM0032,2,2024,SE001
SEM0033,3,2024,SE001
SEM0034,3,2024,CS001
SEM0035,3,2024,SE001
SEM0036,2,2022,CS001
SEM0037,3,2024,SE001
SEM0038,3,2021,SE001
SEM0039,1,2022,CS001
SEM0040,2,2021,SE001
SEM0041,3,2023,SE001
SEM0042,3,2023,IT001
SEM0043,1,2023,CS001
SEM0044,2,2024,SE001
SEM0045,2,2023,SE001
SEM0046,3,2022,IT001
SEM0047,1,2021,SE001
SEM0048,1,2022,SE001
SEM0049,2,2021,IT001
SEM0050,1,2023,IT001
SEM0051,1,2024,IT001
SEM0052,1,2022,CS001
SEM0053,1,2024,SE001
SEM0054,3,2024,IT001
SEM0055,2,2024,IT001
SEM0056,3,2023,CS001
SEM0057,3,2023,IT001
SEM0058,2,2022,IT001
SEM0059,1,2022,SE001
SEM0060,3,2021,SE001
SEM0061,1,2021,IT001
SEM0062,1,2023,SE001
SEM0063,2,2022,IT001
SEM0064,1,2024,IT001
SEM0065,2,2022,CS001
SEM0066,3,2022,SE001
SEM0067,3,2021,IT001
SEM0068,3,2021,SE001
SEM0069,2,2023,IT001
SEM0070,3,2022,CS001
SEM0071,2,2021,IT001
SEM0072,1,2024,IT001
SEM0073,1,2021,IT001
SEM0074,1,2022,SE001
SEM0075,3,2023,CS001
SEM0076,1,2023,IT001
SEM0077,3,2021,CS001
SEM0078,3,2024,IT001
SEM0079,3,2024,IT001
SEM0080,3,2022,SE001
SEM0081,2,2022,IT001
SEM0082,1,2022,CS001
SEM0083,2,2021,SE001
SEM0084,3,2023,CS001
SEM0085,1,2023,CS001
SEM0086,2,2022,IT001
SEM0087,2,2023,SE001
SEM0088,3,2021,CS001
SEM0089,3,2024,IT001
SEM0090,2,2022,SE001
SEM0091,2,2021,SE001
SEM0092,2,2024,IT001
SEM0093,1,2024,CS001
SEM0094,1,2024,IT001
SEM0095,3,2023,IT001
SEM0096,3,2023,IT001
SEM0097,3,2024,CS001
SEM0098,2,2024,CS001
SEM0099,1,2023,IT001
SEM0100,2,2024,IT001
SEM0101,1,2024,SE001
SEM0102,1,2022,SE001
SEM0103,3,2022,IT001
SEM0104,2,2024,IT001
SEM0105,1,2023,IT001
SEM0106,3,2024,CS001
SEM0107,1,2024,SE001
SEM0108,1,2024,SE001
SEM0109,1,2022,CS001
SEM0110,3,2024,SE001
SEM0111,3,2024,IT001
SEM0112,3,2024,SE001
SEM0113,3,2023,CS001
SEM0114,1,2024,IT001
SEM0115,1,2023,SE001
SEM0116,2,2023,CS001
SEM0117,2,2024,IT001
SEM0118,2,2021,SE001
SEM0119,2,2023,SE001
SEM0120,3,2021,IT001
SEM0121,3,2023,SE001
SEM0122,1,2021,IT001
SEM0123,2,2022,IT001
SEM0124,2,2024,IT001
SEM0125,3,2021,SE001
SEM0126,1,2024,IT001
SEM0127,2,2021,SE001
SEM0128,2,2022,SE001
SEM0129,2,2021,CS001
SEM0130,3,2022,SE001
SEM0131,2,2021,IT001
SEM0132,2,2021,CS001
SEM0133,1,2021,CS001
